AccommodationID,DestinationID,HotelName,Type,PricePerNight,Rating,Capacity,Amenities
1,1,Hotel Royal 1,Hostel,23962,4.7,119,"Pool,Parking,Gym,WiFi,Hot Water,Restaurant"
2,1,Hotel Grand 2,Guesthouse,8420,4.2,77,"WiFi,AC,Pool,Parking,Spa,Gym"
3,1,Hotel Grand 3,Guesthouse,4747,3.7,194,"Parking,Hot Water,AC,Restaurant"
4,1,Hotel Valley 4,Hotel,16502,3.0,108,"Parking,Gym,Spa,Hot Water"
5,2,Hotel Heritage 5,Guesthouse,17787,4.0,194,"Pool,Restaurant,Spa,Gym"
6,2,Hotel Grand 6,Guesthouse,9989,3.1,165,"AC,Restaurant,Spa,Hot Water,Parking"
7,2,Hotel Heritage 7,Hotel,24823,4.7,101,"WiFi,Spa,Restaurant,Gym"
8,2,Hotel Valley 8,Villa,18448,3.0,28,"AC,Restaurant,Gym,Hot Water,Pool"
9,2,Hotel Paradise 9,Hostel,7892,4.9,60,"Parking,AC,Spa,Hot Water,Gym,Restaurant"
10,3,Hotel Valley 10,Hostel,21115,4.3,54,"Gym,Spa,Restaurant,AC,Hot Water"
11,3,Hotel Royal 11,Hotel,2206,3.9,61,"AC,Parking,Pool"
12,3,Hotel Valley 12,Hostel,23020,3.5,179,"AC,Hot Water,Parking,Gym,Pool,WiFi"
13,3,Hotel Paradise 13,Villa,4693,3.9,127,"AC,WiFi,Spa,Parking,Pool"
14,3,Hotel Heritage 14,Hotel,13494,4.8,148,"Spa,WiFi,Parking,Hot Water,Restaurant,AC"
15,4,Hotel Royal 15,Hotel,22797,3.4,70,"Parking,Hot Water,Restaurant,AC,Spa"
16,4,Hotel Paradise 16,Resort,19675,3.5,149,"Gym,Parking,Spa,Hot Water"
17,5,Hotel Heritage 17,Villa,7855,4.8,166,"Pool,Hot Water,Parking"
18,5,Hotel Heritage 18,Hostel,13447,3.5,57,"WiFi,Restaurant,AC,Gym"
