ActivityID,DestinationID,ActivityName,Type,CostPerPerson,Duration,DifficultyLevel,GroupSizeMin,GroupSizeMax,AgeRestriction,Season,Rating
1,1,Shopping Experience,Meditation,1745,4 hours,Medium,1,38,18+,Year-round,3.7
2,1,Meditation Experience,Cultural Tour,4310,2 hours,Easy,4,26,All,Winter,4.6
3,1,Shopping Experience,Shopping,4194,2 hours,Easy,2,38,5+,Spring,4.2
4,2,Shopping Experience,Meditation,1061,6 hours,Medium,4,33,All,Year-round,4.3
5,2,Photography Experience,Shopping,3779,5 hours,Hard,4,16,18+,Autumn,4.5
6,2,Shopping Experience,Shopping,3560,7 hours,Hard,4,12,18+,Year-round,4.4
7,3,Food Tour Experience,Food Tour,3675,7 hours,Medium,2,19,All,Spring,4.1
8,3,Cultural Tour Experience,Adventure Sports,1739,1 hours,Easy,4,21,All,Spring,3.5
9,3,Photography Experience,Meditation,2912,7 hours,Hard,1,49,10+,Year-round,3.6
10,4,Photography Experience,Shopping,624,1 hours,Medium,4,45,10+,Year-round,4.9
11,4,Photography Experience,Adventure Sports,3603,5 hours,Medium,1,31,5+,Summer,4.5
12,5,Adventure Sports Experience,Food Tour,1642,5 hours,Hard,3,37,10+,Summer,4.2
13,5,Camping Experience,Photography,4457,4 hours,Medium,3,23,5+,Spring,4.2
14,5,Cultural Tour Experience,Meditation,2437,3 hours,Hard,1,21,18+,Winter,3.5
15,6,Photography Experience,Camping,1214,3 hours,Hard,2,40,18+,Year-round,4.7
16,6,Cultural Tour Experience,Photography,2644,6 hours,Hard,4,47,10+,Autumn,4.1
17,6,Shopping Experience,Food Tour,2867,4 hours,Medium,2,36,18+,Autumn,3.5
18,6,Hiking Experience,Meditation,1723,6 hours,Easy,3,30,18+,Autumn,4.0
19,7,Adventure Sports Experience,Camping,1957,3 hours,Hard,2,39,5+,Autumn,4.3
20,7,Photography Experience,Photography,1781,7 hours,Medium,2,49,10+,Summer,4.3
21,8,Cultural Tour Experience,Camping,2463,1 hours,Hard,3,46,5+,Summer,3.7
22,8,Hiking Experience,Photography,2169,1 hours,Hard,2,21,5+,Autumn,4.6
23,9,Meditation Experience,Adventure Sports,1703,5 hours,Easy,2,24,All,Autumn,3.7
24,9,Adventure Sports Experience,Adventure Sports,842,5 hours,Hard,3,31,5+,Year-round,3.9
25,9,Shopping Experience,Hiking,4035,6 hours,Easy,3,33,10+,Year-round,4.8
26,10,Photography Experience,Adventure Sports,1144,2 hours,Medium,3,24,18+,Spring,4.2
27,10,Photography Experience,Cultural Tour,2672,1 hours,Easy,1,47,10+,Spring,4.3
28,10,Shopping Experience,Cultural Tour,2868,6 hours,Medium,1,29,5+,Summer,4.5
29,11,Cultural Tour Experience,Meditation,2720,3 hours,Easy,1,25,10+,Spring,4.4
30,11,Shopping Experience,Shopping,4562,6 hours,Hard,4,41,10+,Year-round,4.4
31,11,Hiking Experience,Cultural Tour,1655,7 hours,Hard,4,30,5+,Summer,4.1
32,12,Food Tour Experience,Cultural Tour,2533,7 hours,Easy,1,24,10+,Summer,4.3
33,12,Hiking Experience,Shopping,3886,5 hours,Hard,1,47,All,Summer,3.6
34,12,Hiking Experience,Hiking,4864,6 hours,Hard,2,15,5+,Spring,4.5
35,13,Camping Experience,Camping,1999,7 hours,Hard,2,36,5+,Winter,4.3
36,13,Adventure Sports Experience,Adventure Sports,1786,5 hours,Hard,2,35,10+,Spring,4.7
37,13,Shopping Experience,Photography,2341,6 hours,Easy,2,22,All,Winter,5.0
38,13,Adventure Sports Experience,Food Tour,1289,2 hours,Medium,4,18,18+,Winter,4.3
39,14,Photography Experience,Food Tour,1661,7 hours,Hard,2,23,All,Summer,4.0
40,14,Food Tour Experience,Adventure Sports,1306,7 hours,Easy,4,37,All,Winter,3.9
41,14,Shopping Experience,Meditation,3566,1 hours,Hard,2,26,18+,Year-round,4.1
42,15,Camping Experience,Food Tour,3211,7 hours,Medium,4,21,18+,Summer,3.8
43,15,Meditation Experience,Adventure Sports,3155,5 hours,Medium,3,10,18+,Winter,4.6
44,15,Hiking Experience,Cultural Tour,4713,5 hours,Hard,1,33,All,Autumn,3.6
45,16,Photography Experience,Food Tour,2907,7 hours,Easy,1,32,10+,Autumn,4.7
46,16,Adventure Sports Experience,Shopping,4381,7 hours,Medium,4,11,All,Summer,4.7
47,16,Adventure Sports Experience,Cultural Tour,2156,5 hours,Hard,2,38,All,Spring,3.6
48,17,Food Tour Experience,Food Tour,4895,3 hours,Hard,4,11,5+,Summer,4.8
49,17,Food Tour Experience,Hiking,4800,3 hours,Medium,4,35,All,Autumn,3.9
50,17,Shopping Experience,Cultural Tour,2223,7 hours,Medium,4,19,10+,Autumn,4.3
51,17,Photography Experience,Meditation,1765,5 hours,Hard,2,49,All,Winter,3.8
52,18,Photography Experience,Photography,1032,6 hours,Hard,4,40,10+,Summer,3.6
53,18,Photography Experience,Photography,2709,2 hours,Easy,4,20,5+,Winter,3.8
54,19,Hiking Experience,Shopping,1685,1 hours,Medium,2,23,18+,Summer,4.9
55,19,Cultural Tour Experience,Photography,3678,1 hours,Easy,1,45,18+,Year-round,3.5
56,20,Camping Experience,Hiking,2776,4 hours,Hard,1,35,18+,Spring,4.9
57,20,Cultural Tour Experience,Food Tour,1938,1 hours,Medium,2,26,All,Winter,4.2
58,20,Food Tour Experience,Camping,4508,5 hours,Easy,1,13,All,Autumn,4.8
59,21,Adventure Sports Experience,Adventure Sports,4238,4 hours,Medium,4,12,10+,Summer,4.1
60,21,Meditation Experience,Meditation,3351,6 hours,Medium,3,12,10+,Spring,4.1
61,22,Cultural Tour Experience,Photography,3443,3 hours,Hard,4,20,All,Spring,4.9
62,22,Food Tour Experience,Adventure Sports,927,6 hours,Medium,3,13,5+,Year-round,3.9
63,22,Adventure Sports Experience,Camping,1158,3 hours,Hard,2,21,18+,Summer,3.7
64,23,Camping Experience,Shopping,3747,3 hours,Medium,4,49,10+,Autumn,3.7
65,23,Shopping Experience,Camping,776,4 hours,Medium,1,31,18+,Autumn,4.2
66,23,Photography Experience,Meditation,3096,5 hours,Medium,1,36,All,Autumn,4.5
67,23,Meditation Experience,Meditation,1041,3 hours,Medium,4,47,18+,Spring,4.7
68,24,Shopping Experience,Meditation,2256,7 hours,Hard,3,19,18+,Summer,3.6
69,24,Camping Experience,Food Tour,824,2 hours,Medium,2,35,All,Year-round,4.6
70,24,Food Tour Experience,Meditation,1345,5 hours,Easy,4,45,All,Summer,3.5
71,25,Food Tour Experience,Cultural Tour,3031,6 hours,Easy,4,19,5+,Autumn,4.5
72,25,Shopping Experience,Shopping,3287,2 hours,Easy,1,27,5+,Year-round,4.2
73,25,Adventure Sports Experience,Hiking,825,6 hours,Hard,4,21,All,Summer,3.9
